Email,Name,Company,Address,Address Line 2,City,State,Zipcode,Country,Order ID,Order Items,Pounds,Length,Width,Height
blackbeard@queenannesrevenge.com,Captain Blackbeard,Queen Anne's Revenge,111 Back Rd,,Ocracoke,NC,27960,US,923123,Eyepatch Subscription,,,,
,Edward Teach,Black Beard Sports,First Floor Flat,28 Victoria Road,Shoreham-By-Sea,West Sussex,BN43 5LB,UK,923124,Eyepatch Subscription,,,,
kidd@quedagh.com,Captain Kidd,Quedagh Merchant,5 Bay Ave,,Oyster Bay,NY,11771,US,923125,Eyepatch Subscription,,,,
hook@neverland.com,Captain Hook,,Saga Haven Marina,,St Thomas,VI,00802,US,923126,Premium Peg-Leg,2,18,4,4
bigwhoop@monkeyisland.com,Guybrush Threepwood,Monkey Island RV Park,56140 E 280 Rd,,Afton,OK,74331,US,923127,Eyepatch Subscription,,,,
,Long John Silver,,10400 Gulf Blvd,,Treasure Island,FL,33706,US,923128,Eyepatch Subscription,,,,
,X Marks the Spot,,40 Te Mata Peak Road,,Havelock North,Hawkes Bay,4130,NZ,923129,Eyepatch Subscription,,,,
,Pirate's Reserve,,100 S Nelson St,,Kirby,WY,82430,US,923130,Eyepatch Subscription,,,,
,Ghost Pirate LeChuck,,7300 W Pirates Cove Rd,,Las Vegas,NV,89145,US,923131,Mini Treasure Chest,20,12,12,5
,Captain Shipton,Royal Fortune,1 Goat Island,,Newport,RI,02840,US,923132,Eyepatch Subscription,,,,
crunch@saturdaymorning.com,Cap'n Crunch,,100 Crunch Street,,Summerville,SC,29483,US,923133,Eyepatch Subscription,,,,
rackham@marlinspike.com,Red Rackham,,17628 Unicorn St SW,,Rochester,WA,98579,US,923134,Eyepatch Subscription,,,,
